,Demonetization,GST Launch,IL&FS Crisis,Elections/Slowdown,COVID Crash
2019-08-26,,,,1006926.2760059412,
2019-08-27,,,,1008785.4067391463,
2019-08-28,,,,1007436.3853564552,
2019-08-29,,,,1007320.2744141619,
2019-08-30,,,,1008804.9197707255,
2019-09-03,,,,1005784.9490012451,
2019-09-04,,,,1006377.8043358128,
2019-09-05,,,,1007118.7603202224,
2019-09-06,,,,1009027.9705409677,
2019-09-09,,,,1007879.2861985018,
2019-09-11,,,,1006018.5707490465,
2019-09-12,,,,1007078.8984330388,
2019-09-13,,,,1004630.768630331,
2019-09-16,,,,1006018.0438793692,
2019-09-17,,,,1004272.9011252751,
2019-09-18,,,,1004924.0128410609,
2019-09-19,,,,1003933.4732600439,
2019-09-20,,,,1006666.9625714046,
2019-09-23,,,,1008109.342370669,
2019-09-24,,,,1008430.8409693413,
2019-09-25,,,,1008144.6904391659,
2019-09-26,,,,1009236.5486989223,
2019-09-27,,,,1007683.6499210474,
2019-09-30,,,,1007717.7516021929,
2019-10-01,,,,1003393.2655869182,
2019-10-03,,,,1004229.7031470964,
2019-10-04,,,,1003455.3522536741,
2019-10-07,,,,1004175.2972064364,
2019-10-09,,,,1005165.2176061355,
2019-10-10,,,,1003419.7737866975,
2019-10-11,,,,1003665.0153253677,
2019-10-14,,,,1005392.2074622227,
2019-10-15,,,,1006085.1185193413,
2019-10-16,,,,1006614.653190302,
2019-10-17,,,,1006450.5377143057,
2019-10-18,,,,1006879.9911678539,
2019-10-22,,,,1006664.2729214286,
2019-10-23,,,,1006983.0048669955,
2019-10-24,,,,1006363.5295079252,
2019-10-25,,,,1005434.2971178928,
2019-10-27,,,,1005891.6820698259,
2019-10-29,,,,1006410.9056193936,
2019-10-30,,,,1006624.7192261321,
2019-10-31,,,,1006800.7289096885,
2019-11-01,,,,1008776.1378656307,
2019-11-04,,,,1009054.8733222226,
2019-11-05,,,,1008246.3258406867,
2019-11-06,,,,1008379.8198480635,
2019-11-07,,,,1008036.5185046225,
2019-11-08,,,,1006757.9950958806,
2019-11-11,,,,1006709.625871438,
2019-11-13,,,,1005922.7244464328,
2019-11-14,,,,1006614.5826292456,
2019-11-15,,,,1005800.4882470383,
2019-11-18,,,,1006033.275305659,
2019-11-19,,,,1005775.9612480591,
2019-11-20,,,,1007151.1393559639,
2019-11-21,,,,1007773.1809658424,
2019-11-22,,,,1009340.6971061327,
2019-11-25,,,,1009747.2244841659,
2019-11-26,,,,1008743.1431343853,
2019-11-27,,,,1010106.0526183712,
2019-11-28,,,,1010346.0652608232,
2019-11-29,,,,1008889.3239757667,
2019-12-02,,,,1008696.9116656476,
2019-12-03,,,,1007849.4618885262,
2019-12-04,,,,1009005.5440565038,
2019-12-05,,,,1008086.6310619925,
2019-12-06,,,,1007398.0050279351,
2019-12-09,,,,1006499.0201212339,
2019-12-10,,,,1005664.6507382724,
2019-12-11,,,,1006063.2636546482,
2019-12-12,,,,1008031.8851477724,
