ticker,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_max_drawdown,strategy_hit_rate,bh_annual_return,bh_annual_volatility,bh_sharpe,bh_max_drawdown,bh_hit_rate
TSLA,0.5089951350968396,0.48227830394074045,1.0553971243114058,-0.6603571207002203,0.387891226269882,0.32828985737417216,0.5718209831637664,0.5741129952206594,-1.323819110414115,0.5177013853258081
IBM,0.2231717500868693,0.2141173538176818,1.042287073456443,-0.27370897473894634,0.3940482298614674,0.032396792857522394,0.24914502650797074,0.1300318666264283,-0.5206266923274826,0.5223191380194971
PM,0.2024521152044616,0.2026004297283454,0.9992679456599245,-0.3154372038273281,0.39456131349409956,0.08810100605552895,0.24520903915687547,0.35928938981391,-0.5598203022262656,0.5238583889173936
XOM,0.2261860024823683,0.24746105090753676,0.9140266787555273,-0.4309197489033815,0.37814263724987174,0.08206626954045193,0.29241031762688335,0.28065449333825765,-0.9504292388361749,0.5094920472036942
BA,0.2981381551603848,0.33720931365471335,0.8841338097371307,-0.7974357904527563,0.3884043099025141,0.046593900832651025,0.4287049956270196,0.10868522948864465,-1.5105004397729735,0.5089789635710621
DIS,0.20529270237129826,0.2418765110645195,0.8487500562488987,-0.6770692467197876,0.3617239610056439,-0.01559487715496699,0.2838330736239643,-0.05494383355629595,-0.8749835955822477,0.5002565418163161
SLV,0.14526317432468683,0.21359024743955993,0.6801020929843355,-0.4078675327429595,0.35351462288353,0.03959583646335196,0.2637443449760101,0.15012961308024841,-0.5587233452122016,0.5053873781426372
GLD,0.0791124373120935,0.12024361805610233,0.6579346046888063,-0.21906332091348685,0.375064135454079,0.04892878397219591,0.14024411432124817,0.34888297600937385,-0.248489156283749,0.521806054386865
GE,0.08238618330073555,0.31717440766761995,0.2597504127352904,-1.1134582684582472,0.3494099538224731,-0.08716042608719277,0.37091059667045606,-0.23499039086400766,-1.6708561914546185,0.47562852744997436
UNG,0.08023670855789344,0.40498065047705045,0.1981247955016565,-0.8823406852234666,0.3401744484350949,-0.1547837065017158,0.4982490192728696,-0.3106553159454337,-1.9499451526470655,0.48589020010261674
USO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLT,-0.028635678383492458,0.12195513053773041,-0.23480503245112075,-0.2807497660320255,0.35556695741405847,-0.010834222384673242,0.1495406959411008,-0.07244999307038459,-0.582244099902349,0.5161621344279117
